,datePosted,title,price,address,latitude,longitude,description,rooms,bathrooms,pets,furnished,dateScraped
1414900672,12 février 2019 02:05,"4.1/2, appareils électroménagers inclus, métro Mont-Royal",1350.0,"H2W1A5, Canada",45.520687200000005,-73.58237079999999,(English version below) . 176 rue Marie-Anne est 4 1/2 - 1350 $ par mois - rez-de-chauss&eacute; - disponible - 800 pieds carr&eacute;s EMPLACEMENT: - 7 min &agrave; pied du parc Jeanne-Mance - 7 min &agrave; pied du m&eacute;tro Mont-Royal - 25 min &agrave; pied des Universit&eacute;s - acc&egrave;s facile aux transports en commun - pr&egrave;s de tous les services sur le boul,4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_221313_2019
1394427254,10 février 2019 14:19,"New Condo for rent-Atwater Market, Griffintown, Little Burgundy",2000.0,"230 rue Dominion, Montreal, QC, H3J 1N4",45.4836683,-73.57259429999999,"New condo apartments for rent- Sud-Ouest-Griffintown- 1-2-3 bedrooms &amp; Studio-Atwater Market, Lachine Canal, rue Notre-Dame, metro Lionel Groulx, Little Burgundy, Downtown Montreal, Village Stelco- 230 rue Dominion corner rue Duvernay.New construction- Luxury rental project- Available for rent as of April 2019.All major stainless appliances and washer and dryer provided.Inc",4 1/2,1 salle de bain,Oui,Non,Mon_Feb_11_223234_2019
1338627350,8 février 2019 18:07,BEAU 4 1/2 RENOVÉ PRÉS DE MÉTRO CADILLAC,1045.0,"3280 DE LA PÉPINIÈRE, MONTREAL, QC, H1N 3N4",45.5781839,-73.5444488,"Beau grand 41/2 -1045$ &Agrave;PARTIR DU 1ER MARS 2019 ,renov&eacute; , plancher flottant,ceramique,comptoir cuisine neuf, dans un immeuble tranquille et bien entretenu.Toutes est inclus-Chauffage, &Eacute;lectricit&eacute;, L'eau chaude,Cuisiniere et FrigoFacilit&eacute; des transport en commun , STATIONS DE M&Eacute;TRO SUR LA LIGNE VERT &Agrave; 1 MIN &Agrave; PIED-CADILAC E",4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_223235_2019
1318663053,8 février 2019 18:07,BEAU 31/2 RENOVÉ PRÉS DE MÉTRO CADILLAC À PARTIR DU  SEPTEMBRE,845.0,"3280 DE LA PÉPINIÈRE, MONTREAL, QC, H1N 3N4",45.5781839,-73.5444488,"Beau grand 31/2 - 845 $ A PARTIR DU MOIS DE JANVIER 2019,r&eacute;nov&eacute;,plancher bois flottant,c&eacute;ramique, comptoir cuisine neuf, dans un immeuble tranquille et bien entretenu.Toutes est inclus: -Chauffage, -&Eacute;lectricit&eacute;, -L'eau chaude, -Cuisini&egrave;re et frigoFacilit&eacute; des transports en commun Stations de M&Eacute;TRO SUR LA LIGNE VERT &agrave",3 1/2,1 salle de bain,Non,Non,Mon_Feb_11_223236_2019
1403055156,4 février 2019 19:36,"New, luminous downtown furnished Condo w/ park view",1720.0,"1265 Rue Lambert Closse, Montréal, QC H3H 1Z4, Canada",45.4900795,-73.5831498,"AVAILABLE IMMEDIATELY Beautiful brand new condo fully furnished. Gym and roof top pool. Tastefully decorated. Balcony overlooking Cabot Square. High-end 1 bdr condo. Next to Atwater metro. - Corner Unit overlooking St Catherine Street and Cabot Square - Concrete building- very quiet - Tons of storage, includes a storage locker too. - Roof top pool, gym, bbq &amp; terasse areas ",3 1/2,1 salle de bain,Non,Oui,Mon_Feb_11_223301_2019
1408072087,8 février 2019 20:00,Grand  41/2 a louer a vaudreuil sur Rue Valois,800.0,"Rue Émile, L'Île-Bizard, QC H9C 2X1, Canada",45.504177,-73.86295,"Un 41/2 a louer au Rue Valois 362 a Vaudreuil. Non chauff&eacute; avec access laveuse secheuse, cabanon a partager, stationnement. Id&eacute;al pour personnes calme, non fumeur, sans animaux. Libre imm&eacute;diatement. Enqu&ecirc;te Appelez Mik au 514-568-8668",4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_223302_2019
1414903632,12 février 2019 02:25,1 Bdr Condo in Griffintown For Rent + Garage,1750.0,"300 Ann, H3C2K2, Montreal, QC",45.495361100000004,-73.55982879999999,"POSSIBILITY TO RENT ALL INCLUSIVE!! Beautiful 1 bedroom condo (3 1/2) with modern design offers you a large closed bedroom, a walk-in closet and an ensuite bathroom. The living room, dining room and kitchen are designed with an open concept. The construction is of quality and the finishes are of high range! In this bright and soundproof condo, you will find beautiful floors, a ",2 1/2,1 salle de bain,,Non,Mon_Feb_11_223314_2019
1414903411,12 février 2019 02:24,Beau3 1/2-UNE chambre-SUPER lumineux-face parc-calme-bcp parking,700.0,"2657 Rue Fleury E, Montréal, QC H2B 1L8, Canada",45.5773454,-73.6461772,"super logement, super lumineux, face au parc , plancher resabl&eacute; et vernis il y a 2 ans. chambre NON ferm&eacute;e m&eacute;tro accessible tr&egrave;s facilement 14 min (100 m de l'arr&ecirc;t de la 140, entre la 121, la 180, la 69 et la 67) pr&egrave;s des services (300 M d'une &eacute;picerie, d'une pharmacie, 100 m d'un d&eacute;paneur, d'une pizzeria, de plusieurs res",2 1/2,1 salle de bain,,Non,Mon_Feb_11_223315_2019
1414903215,12 février 2019 02:22,Superbe 5 1/2 entièrement rénové Rosemont Petite Patrie cours @,1465.0,"2380 A Boulevard Rosemont, Montréal, QC H2G 1V1, Canada",45.5455362,-73.5868999,"Superbe 5 1/2 compl&egrave;tement refait &agrave; neuf avec belle grande cour c&ocirc;t&eacute; sud, arbre mature et acc&egrave;s &agrave; un stationnement. Magnifique plancher style industriel. Unique sur le march&eacute;! Superbe cuisine &agrave; aire ouverte avec grand ilot/ lave-vaisselle INCLUS/ hotte chemin&eacute;e et colonne de bois brut. Cuisine adjacente &agrave; la s",5 1/2,1 salle de bain,Non,Non,Mon_Feb_11_223316_2019
1414903041,12 février 2019 02:21,Recherché : Recherche pour mai ou juin 2019  un 4 et demi a lachine,,"169 12e Av, LaSalle, QC H8P 3P8, Canada",45.4250045,-73.59939320000001,"Bonjour, je suis actuellement a la recherche d'un 4 et demi disponible pour le moi de mai ou juin 2019 avec un espace pour laveuse et s&eacute;cheuse dont le prix serais entre 750 et 850..Merci 4189061790..",4 1/2,1 salle de bain,,Non,Mon_Feb_11_223317_2019
1414903027,12 février 2019 02:21,Recherché : Recherche appartement pour juin ou juillet,,"H1W1H9, Canada",45.5473155,-73.5513109,Je suis une jeune professionnelle et je recherche soit un 3 1/2 ou un 4 1/2 pour juin ou juillet. Voici ce que je recherche: -au moins une chambre ferm&eacute;e -moins de 10 minutes &agrave; pied d’une station de m&eacute;tro (de pr&eacute;f&eacute;rence dans hochelaga) -entr&eacute;e laveuse/s&eacute;cheuse -750$ par mois maximum -ne doit pas &ecirc;tre meubl&eacute; -ce n’est,2 1/2,1 salle de bain,,Non,Mon_Feb_11_223318_2019
1414902969,12 février 2019 02:20,Downtown Apartment – St-Laurent metro / CHUM/Chinatown,1225.0,"65 René-Lévesque, est, #401, H2X 1N2, Montréal, QC",45.5098092,-73.5610897,"The apartment (56 sm, 600sf) is located at 65 Ren&eacute;-L&eacute;vesque blvd. East (4th floor), Montreal, H2X 1N2, in a vintage building fully restored in 2005, close to two metro stations (St-Laurent and Place-des-arts), CHUM, Chinatown and Quartier des spectacles. Elevator; heating and air conditioning included; big storage area in basement; access to shared terrace. Electr",2 1/2,1 salle de bain,Non,Oui,Mon_Feb_11_223319_2019
1414902780,12 février 2019 02:19,Grand 5 1/2 rénové: CUI avec îlot de 8' + plancher chauffant SDB,1325.0,"Rue Rielle, Verdun, QC H4G 2S4, Canada",45.4601196,-73.5666185,"Nouvellement disponible: 1er mai --- Bienvenue! Vous voulez demeurer dans un super appartement enti&egrave;rement r&eacute;nov&eacute;, ensoleill&eacute;, dans un petit immeuble tranquille, dans un secteur en pleine croissance, branch&eacute; (et encore un petit bijou &agrave; d&eacute;couvrir) &agrave; seulement 300 pas du m&eacute;tro ? Cet appartement est pour vous ! Nouvell",5 1/2,1 salle de bain,Non,Non,Mon_Feb_11_223321_2019
1397617839,12 février 2019 02:19,"LUXURY, Lowney,Beautiful View,Terrace,Gym",1350.0,"H3C4A8, Canada",45.4965499,-73.5614824,"One of the trendiest buildings in Griffintown. 5 minute walk to Bonaventure Metro/Train station, grocery store, pharmacy, restaurants and cafes, night life and of course the old port. The condo includes, 4 quality stainless steel appliances (dishwasher included), ac, washer/drier. Granit countertops and wood floorings. The condo is located on the 8th floor. Access to rooftop te",2 1/2,1 salle de bain,,Non,Mon_Feb_11_223321_2019
1414902704,12 février 2019 02:18,A Studio “Newyork style” at McGill Ghatto for Rent !!,,"3455 Rue Hutchison, H2X2G1, Montreal, QC",45.5085092,-73.573113,"A fully Renovated studio “Newyork Style” for Rent. A walking distance to McGill university. Only hot water, fridge and stove are included ..",1 1/2,1 salle de bain,Non,Non,Mon_Feb_11_223323_2019
1414902687,12 février 2019 02:18,"Très Grand 4 1/2, 16e avenue cartier Rosemont",825.0,"5675 16e Avenue, Montréal, QC H1X 2S7, Canada",45.5561087,-73.5753958,"Tr&egrave;s Grand 4 1/2, tr&egrave;s &eacute;clairer, 2 chambres ferm&eacute;, cuisine, salle a manger et salon a aire ouverte, entr&eacute;e laveuse/s&eacute;cheuse. Enqu&ecirc;te de cr&eacute;dit obligatoire. SVP laisser votre num&eacute;ro de t&eacute;l&eacute;phone pour plus d'info ou pour la prise de rendez-vous. AUCUN RETOUR DE MESSAGE SI VOUS LAISSER PAS VOTRE NUM&Eacute",4 1/2,1 salle de bain,,Non,Mon_Feb_11_223324_2019
1414645410,12 février 2019 02:18,4 1/2 Mercier Tétreauville,750.0,"3770 Rue Paul-Pau, Montréal, QC H1K 2M4, Canada",45.60836320000001,-73.52877240000001,"Petit appartement propre pr&egrave;s de tous les services ( banques, pharmacies, &eacute;cole, garderies, parc, &eacute;piceries, restaurants ) au nord de la rue Sherbrooke. Stationnement priv&eacute;. Disponible 1 er juillet. R&eacute;f&eacute;rences locatives et professionnelles s&eacute;rieuses exig&eacute;es. Locataires non fumeurs souhait&eacute;s. 514-504-7522",4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_223325_2019
1413607315,5 février 2019 04:05,"Downtown 3 1/2 + den, 1 minute walk to metro Guy-Concordia",1240.0,"1645 Boulevard de Maisonneuve O, Montréal, QC H3H 2N3, Canada",45.495166299999994,-73.58029870000001,"Beautiful and very large 3 1/2 apartment with den (680 sft) available for rent from March 1st. Rent $1240 includes EVERYTHING! (Air conditioner, heating, hydro, hot water). Very good for families as well as students. Contact me to visit. I'm available anytime Saturday and Sunday, after 7 pm Monday to Friday. Awesome apartment! • Large living + dining room (24' x 12') and bedroo",3 1/2,1 salle de bain,,Non,Mon_Feb_11_225632_2019
1414914773,12 février 2019 03:55,Logement 5 1/2 à Louer - 5 1/2 Apartment for Rent,,"321 5e avenue, H8P 2K5, LaSalle, QC",45.4317424,-73.6023027,"Situ&eacute; au 2e &eacute;tage d'un duplex &agrave; LaSalle, cet espace porte un air de condo, style &quot;vintage-chic&quot;. L'agencement unique d'&eacute;l&eacute;ments contemporains dans un contexte architectural des ann&eacute;es 1950 cr&eacute;e une ambiance &agrave; d&eacute;sirer! Au sein du &quot;Village des Rapides&quot;, la 5e avenue demeure un quartier de patrimoin",4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_225634_2019
1414914676,12 février 2019 03:54,3 1/2 chauffé disponible 1 avril,620.0,"9960 Papineau, H2B1Z8, Montréal, QC",45.5663976,-73.6497615,"3 1/2 inclus chauffage, l'eau chaude, poele et frigo 10 min du m&eacute;tro Sauv&eacute; (bus 121 et 41) 15 min du m&eacute;tro Fabre (bus 45) Prix: 620 Stationnement interne: 65$/mois (option)",3 1/2,1 salle de bain,,Non,Mon_Feb_11_225635_2019
1414913717,12 février 2019 03:45,"4 1/2 Lachine, libre 01 mars",810.0,"Avenue Hillcrest, Lachine, QC H8R 1J1, Canada",45.448566,-73.64855,"Situer au 20 avenue Hillcrest h8r 1J1, ville St-Pierre(Lachine) Grand salon, 2 chambre ferm&eacute;e, une grande et une plus petite,ainsi que du rangement dans chaque pi&egrave;ces. Belle appartement qui avait &eacute;t&eacute; r&eacute;nov&eacute; &agrave; neuf lors de notre arriv&eacute;e, il est toujours tr&egrave;s propre! Balcon avant et arri&egrave;re L'appartement situer",4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_225636_2019
1414913522,12 février 2019 03:44,3 1/2 Apartment near to McGill University,525.0,"3474 Rue Hutchison, Montréal, QC H2X 2G7, Canada",45.5083756,-73.5734861,"J'ai une belle chambre meubl&eacute;e &agrave; louer dans McGill Uiversity POUR FEMME SEULEMENT. Je suis &agrave; la recherche d'une &eacute;tudiante ou d'une professionnelle &acirc;g&eacute;e au maximum dans la trentaine. Je vis dans un appartement grand, lumineux, propre et tranquille, situ&eacute; dans un beau quartier s&eacute;curitaire o&ugrave; l'on trouve tout &agrave; p",2 1/2,1 salle de bain,Non,Oui,Mon_Feb_11_225637_2019
1414913172,12 février 2019 03:40,Furnished 4 1/2  apartment for rent minutes away from downtown,1600.0,"1932 Le Ber, H3K 2A5, Montreal, QC",45.4801505,-73.5529755,"Beautiful 2 bedroom CONDO located near Griffintown, in a quiet, sought-after neighbourhood is available for RENT FROM MAY 1. Minutes away from downtown Montreal, the Old Port, a short 15-minute walk to Charlevoix metro station and the Atwater market. The YMCA is two blocks away, distance to a BIXI station is in 200m, all the way to the canal there is a new bicycle path. Bus rou",4 1/2,1 salle de bain,Oui,Oui,Mon_Feb_11_225638_2019
1414912976,12 février 2019 03:38,Je cède mon bail 1er AVRIL 2 1/2,617.0,"2770 Boulevard Pie-IX, Montréal, QC H1V 2E9, Canada",45.5538094,-73.55314659999999,"Cession de bail &agrave; partir du premier avril, celui-ci expirant le 31 juillet 2019. On peut renouveler le bail apr&egrave;s le 1er ao&ucirc;t et rester dans le logement. Appartement propre, confortable, au 2e &eacute;tage, immeuble tr&egrave;s bien entretenu. Chauffage, eau chaude inclus, chambre ferm&eacute;e, grande cuisine avec porte patio, escalier de secours ext&eacute",2 1/2,1 salle de bain,Non,Non,Mon_Feb_11_225639_2019
1401675941,12 février 2019 03:33,Villeray - Parc Extension - 2 chambres entièrement rénovées,1250.0,"706 Avenue Ball, Montréal, QC H3N 1J3, Canada",45.5295117,-73.6329468,"H&acirc;tez vous! Venez vivre dans un quartier en pleine &eacute;mergence! Disponibles d&egrave;s maintenant! Super logements de 2 chambres ENTI&Egrave;REMENT r&eacute;nov&eacute;s: • Cuisines avec comptoirs en granit • Belles salles de bains • Planchers en bois • Nouvelles fen&ecirc;tres, balcons et portes • Laveuses et s&eacute;cheuses incluses • &Eacute;lectricit&eacute; et ",4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_225640_2019
1414912421,12 février 2019 03:33,"large 3 -1/2 for rent in on Woodland, Verdun",700.0,"1126 Rue Woodland, Verdun, QC H4H 1V9, Canada",45.4527308,-73.5801625,"Clean and quite, roomy bedroom, large living room, nice view in front and back, wood floor for bedroom and living room, Frig, stove, basic furniture (ie, bed, table, chairs, TV) and kitchenware are included, easy access to Highway 20, 8 min. walking distance to metro, 3mins to bus stop, convenient for grocery shopping, available now.",2 1/2,1 salle de bain,Non,Oui,Mon_Feb_11_225641_2019
1413602263,12 février 2019 03:33,Ahuntsic-Nouveau Bordeaux--2e étage complètement rénové,875.0,"11807 Avenue de Poutrincourt, Montréal, QC H3M 2A2, Canada",45.534907200000006,-73.69586540000002,Emplacement id&eacute;al! Rue tr&egrave;s calme! Enti&egrave;rement r&eacute;nov&eacute; et lumineux appartement 1 chambre au 2&egrave;me &eacute;tage. Nouvelle cuisine avec comptoirs en quartz et installation pour laveuse et s&eacute;cheuse ( S&eacute;cheuse inclus). Nouvelle salle de bain de A &agrave; Z. Planchers de bois franc et fra&icirc;chement peints. Balcons avant et a,3 1/2,1 salle de bain,Non,Non,Mon_Feb_11_225642_2019
1414910533,12 février 2019 03:33,Appartement à louer,1650.0,"297 Du Shannon, H3C0L2, Montréal, QC",45.495081400000004,-73.55947049999999,Caract&eacute;risques de la propri&eacute;t&eacute; LOWNEY - Superbe immeuble en plein centre-ville de Montreal. Luxueux condo de coin meubl&eacute; tr&egrave;s bien eclair&eacute; et bien am&eacute;nag&eacute; situ&eacute; au 6e etage. L'appartement - 1 chambre ferm&eacute;e avec &quot;walk-in&quot; dans la chambre principale - 1 salle de bain - Salle de lavage separ&eacute;e ,3 1/2,1 salle de bain,Non,Oui,Mon_Feb_11_225643_2019
1408026607,12 février 2019 03:33,Ahuntsic- Cartierville--3 chambres a coucher + sous-sol,1700.0,"12465 Avenue de Rivoli, Montréal, QC H4J 2L8, Canada",45.533155,-73.7237809,"Magnifique et spacieux appartement / maison avec sous-sol. 3 grandes chambres + 2 salles de bains, salon, salle &agrave; manger et grande cuisine avec comptoirs en granit et appareils &eacute;lectrom&eacute;nagers (r&eacute;frig&eacute;rateur, cuisini&egrave;re, lave-vaisselle, laveuse et s&eacute;cheuse) inclus. Sous-sol avec salle familiale, bureau et salle d'eau. 2 balcons (",5 1/2,"1,5 salle de bain",Non,Non,Mon_Feb_11_225644_2019
1414912382,12 février 2019 03:33,Grand 4 1/2 + Bureau. Disponible 1er mai 2019,1100.0,"1643 de Ville-Marie, Montreal H1V3K2 QC",45.55896679999999,-73.531733,"Adresse : 1643 Rue de Ville Marie, Montr&eacute;al, QC H1V 3K2 Tr&egrave;s beau et grand 4&frac12; + bureau situ&eacute; au 2e &eacute;tage d’un quadruplex. Disponible pour le 1er mai 2019. VISITES LIBRES : SAMEDI LE 16 OU DIMANCHE LE 24 F&Eacute;VRIER 2019 ENTRE MIDI ET 16H. PRENEZ RENDEZ-VOUS en textant le 343-999-1359 ou par courriel : rodriguegenevieve@hotmail.com DESCRIPTI",5 1/2,2 salles de bain,Non,Non,Mon_Feb_11_225645_2019
1414912102,12 février 2019 03:30,Recherché : Recherche 4 et demi,760.0,"Rue Jean-Brillon, Montréal, QC H8N 1T3, Canada",45.42651,-73.62581999999999,Famille tr&egrave;s s&eacute;rieuse,4 1/2,1 salle de bain,Non,Non,Mon_Feb_11_225646_2019
1414911922,12 février 2019 03:29,Lovely Westmount 6 1/2 available for rent from April,2550.0,"4289 Boulevard de Maisonneuve O, Westmount, QC H3Z 1K7, Canada",45.4857261,-73.5910921,"Hi all! Our lovely sunny 6 1/2 upper duplex is available from April 2019. $2550 / month. We have bought our own home and are looking for someone to take over our lease. We have lived in the apartment for three happy years, we have a good landlord, great neighbors, and the location is amazing; on Maisonneuve and Clarke, two minutes walk to the local primary school, a ten minute ",5 1/2,2 salles de bain,Non,Non,Mon_Feb_11_225647_2019
1414911286,12 février 2019 03:24,3 chambres fermées / Vx-Rosemont/ Près de Promenade Masson,1599.0,"5268 7e Avenue, Montréal, QC H1Y 2N3, Canada",45.5483192,-73.5739007,"3 chambres ferm&eacute;es . Id&eacute;al pour 3 &eacute;tudiants , jeunes professionnels, jeune couple voulant travailler &agrave; partir de la maison. Deuxi&egrave;me &eacute;tage d’un triplex dans Vieux-Rosemont, quartier tranquille des plus agr&eacute;ables de Montr&eacute;al pr&egrave;s de la Promenade Masson. Immeuble non tabac , non cannabis et sans animaux. Compl&egrave;",5 1/2,1 salle de bain,Non,Non,Mon_Feb_11_225648_2019
1414910932,12 février 2019 03:21,"Condo lux 1200sf ALL IN winter price 99/day, 299/day Holyday NDG",2099.0,", Montreal h4a0a2 QC",45.468042499999996,-73.6116439,"DG Condo lux 1200sf / pc all included. The price of 2099/month corresponds to 8-12 months renting. Shorter periods more expensive: long vacation 1-3 months are 99-199/day, depends on the length and period you need. 299/day during 20 Dec 2018 to 5 jan 2019, same price for weekend only. The condo is located 4 km from Downtown (good location as Montreal is 52km wide)* . * If you t",5 1/2,2 salles de bain,Oui,Oui,Mon_Feb_11_225649_2019
